Table Name,State Code,District code,Tehsil Code,Town Code,Area Name,Total/Rural/Urban,Location of source of drinking water,Total Number of Households,Tapwater from treated source,"Tapwater from
untreated source",Covered well,Uncovered well,Handpump,Tubewell/Borehole,Spring,"River/
Canal","Tank/
Pond/
Lake", Other sources
HH2206,29,560,5467,601860,Munirabad Project Area (CT),Urban,Near the premises,479,276,94, NaN   , NaN   ,10,62, NaN   ,34,2,1
HH2206,29,560,5467,601860,Munirabad Project Area (CT),Urban,Away,84,22,46, NaN   , NaN   ,1,1, NaN   ,5, NaN   ,9
HH2206,29,561,0,0,District  Gadag,Total,Total,"2,15,602","92,432","64,254",855,"4,690","11,253","18,113",424,"1,914","19,603","2,064"
HH2206,29,561,0,0,District  Gadag,Total,Within the premises,"63,805","42,182","16,101",327,373,547,"4,275", NaN   , NaN   , NaN   , NaN   
HH2206,29,561,0,0,District  Gadag,Total,Near the premises,"96,873","36,392","36,153",278,"1,527","4,838","9,108",306,859,"6,574",838
HH2206,29,561,0,0,District  Gadag,Total,Away,"54,924","13,858","12,000",250,"2,790","5,868","4,730",118,"1,055","13,029","1,226"
HH2206,29,561,0,0,District  Gadag,Rural,Total,"1,37,799","41,424","45,386",661,"3,880","9,470","15,070",247,"1,150","19,325","1,186"
HH2206,29,561,0,0,District  Gadag,Rural,Within the premises,"29,447","15,036","10,348",246,318,479,"3,020", NaN   , NaN   , NaN   , NaN   
HH2206,29,561,0,0,District  Gadag,Rural,Near the premises,"65,348","18,611","26,434",235,"1,167","3,984","7,876",140,125,"6,371",405
HH2206,29,561,0,0,District  Gadag,Rural,Away,"43,004","7,777","8,604",180,"2,395","5,007","4,174",107,"1,025","12,954",781
HH2206,29,561,0,0,District  Gadag,Urban,Total,"77,803","51,008","18,868",194,810,"1,783","3,043",177,764,278,878
HH2206,29,561,0,0,District  Gadag,Urban,Within the premises,"34,358","27,146","5,753",81,55,68,"1,255", NaN   , NaN   , NaN   , NaN   
HH2206,29,561,0,0,District  Gadag,Urban,Near the premises,"31,525","17,781","9,719",43,360,854,"1,232",166,734,203,433
